BHK,Price_INR,Area_sqft,Locality,City,Price_per_SqFt
3,14800000.0,1710,"Tellapur, Outer Ring Road",Hyderabad,8654.970760233919
3,17200000.0,1920,Begumpet,Hyderabad,8958.333333333334
2,6240000.0,1248,Suchitra Road,Hyderabad,5000.0
4,32100000.0,4400,Osman Nagar,Hyderabad,7295.454545454545
4,45000000.0,3278,"Somajiguda, NH 9",Hyderabad,13727.882855399634
3,10900000.0,1823,Patancheruvu,Hyderabad,5979.155238617664
4,62699999.99999999,5454,Puppalguda,Hyderabad,11496.149614961494
3,54500000.0,3078,"Kokapet, Outer Ring Road",Hyderabad,17706.302794022093
3,12200000.0,1585,Patancheruvu,Hyderabad,7697.160883280757
3,10000000.0,1840,Patancheruvu,Hyderabad,5434.782608695652
3,13700000.000000002,1725,"Tellapur, Outer Ring Road",Hyderabad,7942.028985507248
4,31600000.0,3571,Rajendranagar Mandal,Hyderabad,8849.061887426491
4,56100000.0,5350,"Kokapet, Outer Ring Road",Hyderabad,10485.981308411216
4,27200000.000000004,2651,Budwel,Hyderabad,10260.279139947192
4,62699999.99999999,5454,Puppalguda,Hyderabad,11496.149614961494
3,18300000.0,2555,"Tellapur, Outer Ring Road",Hyderabad,7162.426614481409
4,85300000.0,6099,Khajaguda,Hyderabad,13985.899327758649
4,63500000.0,4123,"Kokapet, Outer Ring Road",Hyderabad,15401.40674266311
3,54500000.0,3078,"Kokapet, Outer Ring Road",Hyderabad,17706.302794022093
4,25800000.0,3065,Budwel,Hyderabad,8417.618270799347
3,24400000.0,2100,Kondapur,Hyderabad,11619.047619047618
3,18200000.0,3135,Mokila,Hyderabad,5805.422647527911
3,13400000.0,2345,"Kollur, Outer Ring Road",Hyderabad,5714.285714285715
3,17300000.0,2277,Osman Nagar,Hyderabad,7597.716293368468
3,16900000.0,2350,"Tellapur, Outer Ring Road",Hyderabad,7191.489361702128
3,11500000.0,2114,Patancheruvu,Hyderabad,5439.924314096499
3,23800000.0,2165,"Kokapet, Outer Ring Road",Hyderabad,10993.071593533487
3,8970000.0,1725,Medipally,Hyderabad,5200.0
3,9880000.0,1775,"Gandi Maisamma, Outer Ring Road",Hyderabad,5566.197183098591
3,12200000.0,1585,Patancheruvu,Hyderabad,7697.160883280757
